epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,87.1616,1.07209,0.93086,1.03083,0.64656,0.5641,0.60386,0.34302,1.55654,1.47253,1.41154,0.0011882,0.0011882,0.0011882
43,89.2243,0.97901,0.85283,0.99083,0.80692,0.5641,0.64728,0.3509,1.55682,1.37706,1.47472,0.0011684,0.0011684,0.0011684
44,91.3398,1.03046,0.86965,1.00719,0.83929,0.53573,0.62119,0.3894,1.38188,1.31355,1.40489,0.0011486,0.0011486,0.0011486
45,93.3783,0.96192,0.84332,0.98719,0.80663,0.5641,0.66295,0.37083,1.46754,1.39665,1.43422,0.0011288,0.0011288,0.0011288
46,95.4255,1.02558,0.85494,0.99891,0.83048,0.5641,0.6697,0.34577,1.49382,1.33597,1.44156,0.001109,0.001109,0.001109
47,97.4765,0.97967,0.80988,0.95154,0.76509,0.66813,0.69,0.34119,1.45171,1.34982,1.45171,0.0010892,0.0010892,0.0010892
48,99.5414,1.0125,0.82091,0.95424,0.72666,0.68183,0.6738,0.38079,1.45096,1.33929,1.46302,0.0010694,0.0010694,0.0010694
49,101.549,1.01609,0.88046,0.99502,0.80118,0.5641,0.68512,0.37536,1.45636,1.2422,1.45135,0.0010496,0.0010496,0.0010496
50,103.583,0.991,0.81703,0.99979,0.7763,0.66667,0.68908,0.3848,1.48605,1.24963,1.49809,0.0010298,0.0010298,0.0010298
51,105.635,1.01431,0.83091,1.01636,0.6754,0.66667,0.6779,0.38418,1.47277,1.13777,1.4827,0.00101,0.00101,0.00101
52,107.682,0.98704,0.7936,1.01255,0.75252,0.64103,0.64571,0.3598,1.46037,1.5406,1.41523,0.0009902,0.0009902,0.0009902
53,109.685,0.99695,0.80887,0.96741,0.82471,0.60339,0.64321,0.36261,1.46558,1.40761,1.42094,0.0009704,0.0009704,0.0009704
54,111.748,0.99011,0.80655,0.95673,0.78338,0.66667,0.65783,0.39144,1.37733,1.35384,1.37772,0.0009506,0.0009506,0.0009506
55,113.77,0.95166,0.76346,0.99384,0.76729,0.5641,0.66406,0.36066,1.48774,1.26407,1.44171,0.0009308,0.0009308,0.0009308
56,115.768,0.91635,0.72037,0.94818,0.73506,0.64026,0.69085,0.37578,1.54153,1.18286,1.42892,0.000911,0.000911,0.000911
57,117.815,0.90032,0.76154,0.96956,0.75524,0.64103,0.68039,0.3767,1.54647,1.16082,1.42066,0.0008912,0.0008912,0.0008912
58,119.906,0.93059,0.7272,0.9639,0.82629,0.5641,0.65532,0.38276,1.50279,1.16564,1.42096,0.0008714,0.0008714,0.0008714
59,121.968,0.92003,0.74492,0.97605,0.69202,0.69141,0.69815,0.39121,1.48492,1.11375,1.44361,0.0008516,0.0008516,0.0008516
60,123.993,0.90053,0.73532,0.92722,0.88984,0.64103,0.74321,0.43562,1.37324,1.07689,1.41267,0.0008318,0.0008318,0.0008318
61,126.035,0.86265,0.70668,0.94741,0.74032,0.65806,0.71068,0.44765,1.38713,1.09911,1.41101,0.000812,0.000812,0.000812
62,128.123,0.93359,0.72498,0.96354,0.77672,0.62456,0.72609,0.43071,1.32324,0.98486,1.36167,0.0007922,0.0007922,0.0007922
63,130.302,0.91336,0.74274,0.93899,0.91586,0.55836,0.76257,0.4599,1.3652,1.10256,1.35177,0.0007724,0.0007724,0.0007724
64,132.525,0.83318,0.69497,0.91925,0.64771,0.66013,0.71107,0.41279,1.46506,1.15652,1.3607,0.0007526,0.0007526,0.0007526
65,134.564,0.91598,0.72204,0.92781,0.70998,0.61538,0.65677,0.39214,1.50085,1.08654,1.42402,0.0007328,0.0007328,0.0007328
66,136.643,0.92167,0.73172,0.96162,0.74906,0.6124,0.64784,0.39975,1.391,1.20556,1.43474,0.000713,0.000713,0.000713
67,138.698,0.85285,0.74567,0.93182,0.72289,0.60219,0.66816,0.39417,1.48848,1.19022,1.51338,0.0006932,0.0006932,0.0006932
68,140.704,0.82929,0.66461,0.92484,0.63784,0.67754,0.67182,0.38902,1.54081,1.22981,1.5468,0.0006734,0.0006734,0.0006734
69,142.649,0.87021,0.69455,0.94329,0.64935,0.66667,0.67765,0.37764,1.59169,1.23009,1.59393,0.0006536,0.0006536,0.0006536
70,144.58,0.85553,0.69985,0.947,0.73571,0.64245,0.6928,0.39808,1.51279,1.15365,1.53582,0.0006338,0.0006338,0.0006338
